"100016","104","TOPICAL (HOUSEHOLD)","Topique (Maison)"
"100026","56","ORAL","Orale"
"100027","56","ORAL","Orale"
"10031","22","INTRAMUSCULAR","Intramusculaire"
"10031","49","INTRAVENOUS","Intraveineuse"
"100513","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"100513","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"100513","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"100513","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"100513","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"10128","56","ORAL","Orale"
"10136","56","ORAL","Orale"
"10165","56","ORAL","Orale"
"10166","56","ORAL","Orale"
"10168","56","ORAL","Orale"
"10177","70","TOPICAL","Topique"
"10186","49","INTRAVENOUS","Intraveineuse"
"10200","56","ORAL","Orale"
"10226","49","INTRAVENOUS","Intraveineuse"
"1025","56","ORAL","Orale"
"10394","56","ORAL","Orale"
"10395","56","ORAL","Orale"
"10435","56","ORAL","Orale"
"10451","56","ORAL","Orale"
"10486","56","ORAL","Orale"
"10490","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"10495","56","ORAL","Orale"
"10496","56","ORAL","Orale"
"10535","56","ORAL","Orale"
"10546","10","INTRA-ARTICULAR","Intra-articulaire"
"10552","56","ORAL","Orale"
"10575","56","ORAL","Orale"
"10602","55","OPHTHALMIC","Ophtalmique"
"10708","56","ORAL","Orale"
"10709","56","ORAL","Orale"
"10710","56","ORAL","Orale"
"10711","62","RECTAL","Rectale"
"10712","62","RECTAL","Rectale"
"10794","56","ORAL","Orale"
"10817","23","INTRAMAMMARY","Intramammaire"
"10834","56","ORAL","Orale"
"10876","22","INTRAMUSCULAR","Intramusculaire"
"10876","49","INTRAVENOUS","Intraveineuse"
"10876","65","SUBCUTANEOUS","Sous-cutanée"
"10877","22","INTRAMUSCULAR","Intramusculaire"
"10877","49","INTRAVENOUS","Intraveineuse"
"10877","65","SUBCUTANEOUS","Sous-cutanée"
"10878","56","ORAL","Orale"
"10883","56","ORAL","Orale"
"10884","56","ORAL","Orale"
"10885","56","ORAL","Orale"
"10886","56","ORAL","Orale"
"10887","56","ORAL","Orale"
"10909","56","ORAL","Orale"
"10910","56","ORAL","Orale"
"10924","49","INTRAVENOUS","Intraveineuse"
"10926","49","INTRAVENOUS","Intraveineuse"
"10927","49","INTRAVENOUS","Intraveineuse"
"10928","49","INTRAVENOUS","Intraveineuse"
"10929","49","INTRAVENOUS","Intraveineuse"
"10930","49","INTRAVENOUS","Intraveineuse"
"10931","49","INTRAVENOUS","Intraveineuse"
"10932","49","INTRAVENOUS","Intraveineuse"
"10933","49","INTRAVENOUS","Intraveineuse"
"10934","49","INTRAVENOUS","Intraveineuse"
"10935","49","INTRAVENOUS","Intraveineuse"
"10936","49","INTRAVENOUS","Intraveineuse"
"10937","49","INTRAVENOUS","Intraveineuse"
"10938","49","INTRAVENOUS","Intraveineuse"
"10952","56","ORAL","Orale"
"10953","56","ORAL","Orale"
"10975","56","ORAL","Orale"
"10977","5","DENTAL","Dentaire"
"11012","22","INTRAMUSCULAR","Intramusculaire"
"11025","56","ORAL","Orale"
"11027","56","ORAL","Orale"
"1103","57","OTIC","Otique"
"11034","56","ORAL","Orale"
"11035","56","ORAL","Orale"
"11036","56","ORAL","Orale"
"11040","49","INTRAVENOUS","Intraveineuse"
"11059","29","INHALATION","Inhalation"
"11060","29","INHALATION","Inhalation"
"11089","56","ORAL","Orale"
"11133","55","OPHTHALMIC","Ophtalmique"
"11140","56","ORAL","Orale"
"11141","56","ORAL","Orale"
"11151","70","TOPICAL","Topique"
"11154","70","TOPICAL","Topique"
"11223","22","INTRAMUSCULAR","Intramusculaire"
"11223","49","INTRAVENOUS","Intraveineuse"
"11229","56","ORAL","Orale"
"11254","56","ORAL","Orale"
"11320","56","ORAL","Orale"
"11333","56","ORAL","Orale"
"1141","22","INTRAMUSCULAR","Intramusculaire"
"1141","49","INTRAVENOUS","Intraveineuse"
"1141","65","SUBCUTANEOUS","Sous-cutanée"
"1143","56","ORAL","Orale"
"11453","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"11453","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"11456","56","ORAL","Orale"
"11457","56","ORAL","Orale"
"11649","56","ORAL","Orale"
"11650","56","ORAL","Orale"
"11656","70","TOPICAL","Topique"
"11680","56","ORAL","Orale"
"11691","56","ORAL","Orale"
"11753","56","ORAL","Orale"
"11798","56","ORAL","Orale"
"11833","30","DISINFECTANT (Medical Instruments)","Désinfectant (Instruments médicaux)"
"11834","30","DISINFECTANT (Medical Instruments)","Désinfectant (Instruments médicaux)"
"1184","56","ORAL","Orale"
"11843","70","TOPICAL","Topique"
"11844","70","TOPICAL","Topique"
"11869","62","RECTAL","Rectale"
"11889","56","ORAL","Orale"
"11899","56","ORAL","Orale"
"11900","56","ORAL","Orale"
"11914","56","ORAL","Orale"
"11970","56","ORAL","Orale"
"11977","22","INTRAMUSCULAR","Intramusculaire"
"11977","49","INTRAVENOUS","Intraveineuse"
"12016","56","ORAL","Orale"
"1212","56","ORAL","Orale"
"12154","56","ORAL","Orale"
"12159","56","ORAL","Orale"
"12215","55","OPHTHALMIC","Ophtalmique"
"12255","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"12255","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"12257","55","OPHTHALMIC","Ophtalmique"
"12258","55","OPHTHALMIC","Ophtalmique"
"12259","55","OPHTHALMIC","Ophtalmique"
"12265","55","OPHTHALMIC","Ophtalmique"
"12288","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"12288","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"12289","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"12289","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"1234","49","INTRAVENOUS","Intraveineuse"
"12408","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"12437","56","ORAL","Orale"
"12565","56","ORAL","Orale"
"12572","56","ORAL","Orale"
"12573","56","ORAL","Orale"
"12574","56","ORAL","Orale"
"12575","56","ORAL","Orale"
"126","56","ORAL","Orale"
"12649","1","BLOCK/INFILTRATION","Bloc/Infiltration"
"127","70","TOPICAL","Topique"
"12711","49","INTRAVENOUS","Intraveineuse"
"12757","70","TOPICAL","Topique"
"12798","70","TOPICAL","Topique"
"128","52","MISCELLANEOUS","Divers"
"12840","65","SUBCUTANEOUS","Sous-cutanée"
"12843","57","OTIC","Otique"
"1285","70","TOPICAL","Topique"
"12861","70","TOPICAL","Topique"
"12875","55","OPHTHALMIC","Ophtalmique"
"12877","62","RECTAL","Rectale"
"12920","70","TOPICAL","Topique"
"12922","56","ORAL","Orale"
"12923","56","ORAL","Orale"
"12925","56","ORAL","Orale"
"12930","22","INTRAMUSCULAR","Intramusculaire"
"12930","33","INTRAPERITONEAL","Intrapéritonéale"
"12930","49","INTRAVENOUS","Intraveineuse"
"12930","65","SUBCUTANEOUS","Sous-cutanée"
"130","56","ORAL","Orale"
"13018","6","HAEMODIALYSIS","Hémodialyse"
"13027","56","ORAL","Orale"
"13039","56","ORAL","Orale"
"13074","56","ORAL","Orale"
"13075","55","OPHTHALMIC","Ophtalmique"
"131","56","ORAL","Orale"
"13132","56","ORAL","Orale"
"13141","55","OPHTHALMIC","Ophtalmique"
"13146","55","OPHTHALMIC","Ophtalmique"
"132","56","ORAL","Orale"
"13233","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"13233","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"13233","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"13233","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"13233","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"13246","70","TOPICAL","Topique"
"13249","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"13249","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"13249","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"13249","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"13249","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"13276","10","INTRA-ARTICULAR","Intra-articulaire"
"13276","19","INTRADERMAL","Intradermique"
"13276","21","INTRALESIONAL","Intralésionnelle"
"13276","22","INTRAMUSCULAR","Intramusculaire"
"13286","36","IRRIGATION","Irrigation"
"13287","36","IRRIGATION","Irrigation"
"13291","65","SUBCUTANEOUS","Sous-cutanée"
"13294","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"13294","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"13294","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"13294","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"13294","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"133","56","ORAL","Orale"
"13300","22","INTRAMUSCULAR","Intramusculaire"
"13312","56","ORAL","Orale"
"13328","55","OPHTHALMIC","Ophtalmique"
"13401","56","ORAL","Orale"
"13410","22","INTRAMUSCULAR","Intramusculaire"
"13414","22","INTRAMUSCULAR","Intramusculaire"
"1343","48","INTRAUTERINE","Intra-utérine"
"13434","70","TOPICAL","Topique"
"13450","56","ORAL","Orale"
"13453","56","ORAL","Orale"
"13454","56","ORAL","Orale"
"13460","49","INTRAVENOUS","Intraveineuse"
"13479","56","ORAL","Orale"
"13513","56","ORAL","Orale"
"13514","56","ORAL","Orale"
"13515","65","SUBCUTANEOUS","Sous-cutanée"
"13517","56","ORAL","Orale"
"13565","56","ORAL","Orale"
"13572","56","ORAL","Orale"
"13579","3","BUCCAL","Buccale"
"13583","56","ORAL","Orale"
"13584","70","TOPICAL","Topique"
"13585","70","TOPICAL","Topique"
"13751","56","ORAL","Orale"
"13831","25","INTRABRANCHIAL","Intrabranchiale"
"13831","70","TOPICAL","Topique"
"13835","56","ORAL","Orale"
"13840","56","ORAL","Orale"
"13841","56","ORAL","Orale"
"1386","55","OPHTHALMIC","Ophtalmique"
"1386","57","OTIC","Otique"
"1388","56","ORAL","Orale"
"13892","29","INHALATION","Inhalation"
"13895","29","INHALATION","Inhalation"
"13897","29","INHALATION","Inhalation"
"13950","19","INTRADERMAL","Intradermique"
"13950","65","SUBCUTANEOUS","Sous-cutanée"
"13951","19","INTRADERMAL","Intradermique"
"13951","65","SUBCUTANEOUS","Sous-cutanée"
"13952","19","INTRADERMAL","Intradermique"
"13952","65","SUBCUTANEOUS","Sous-cutanée"
"13960","56","ORAL","Orale"
"1398","22","INTRAMUSCULAR","Intramusculaire"
"14036","23","INTRAMAMMARY","Intramammaire"
"14101","19","INTRADERMAL","Intradermique"
"14101","65","SUBCUTANEOUS","Sous-cutanée"
"14116","56","ORAL","Orale"
"14117","56","ORAL","Orale"
"14118","56","ORAL","Orale"
"14132","70","TOPICAL","Topique"
"14154","22","INTRAMUSCULAR","Intramusculaire"
"14154","49","INTRAVENOUS","Intraveineuse"
"14223","56","ORAL","Orale"
